Borough,Property_Type,Average_Price,Median_Price,Transaction_Count
Lambeth,Terraced,917082,820000,646
Lewisham,Detached,1165409,855000,46
Lewisham,Flat,385924,375000,1431
Lewisham,Other,1327561,415000,72
Lewisham,Semi-Detached,776807,700000,221
Lewisham,Terraced,660193,635000,929
Merton,Detached,3147772,2075000,58
Merton,Flat,427838,390000,805
Merton,Other,2197409,555307,60
Merton,Semi-Detached,1059367,825000,228
Merton,Terraced,706460,615000,855
Newham,Detached,485000,475000,6
Newham,Flat,421832,410000,1033
Newham,Other,1310009,785985,47
Newham,Semi-Detached,526388,480000,40
Newham,Terraced,485246,465000,806
Redbridge,Detached,1049303,870000,90
Redbridge,Flat,318180,300000,614
Redbridge,Other,828554,455000,51
Redbridge,Semi-Detached,693658,642000,362
Redbridge,Terraced,566135,530000,923
Richmond upon Thames,Detached,1985932,1700000,120
Richmond upon Thames,Flat,523817,460000,874
Richmond upon Thames,Other,897436,450000,58
Richmond upon Thames,Semi-Detached,1238086,999500,394
Richmond upon Thames,Terraced,940831,850000,707
Southwark,Detached,1602565,1100000,22
Southwark,Flat,503192,450000,1816
Southwark,Other,2702975,825000,71
Southwark,Semi-Detached,1253185,1104000,112
Southwark,Terraced,944492,860000,495
Sutton,Detached,931338,865000,152
Sutton,Flat,285117,285000,703
Sutton,Other,857045,377500,27
Sutton,Semi-Detached,621376,607000,463
Sutton,Terraced,487259,470000,621
Tower Hamlets,Detached,930000,930000,1
Tower Hamlets,Flat,527516,455000,1980
Tower Hamlets,Other,1819992,670000,66
Tower Hamlets,Semi-Detached,830429,760000,7
Tower Hamlets,Terraced,858494,830000,203
Waltham Forest,Detached,902923,747500,26
Waltham Forest,Flat,395432,390000,1064
Waltham Forest,Other,936607,515000,51
Waltham Forest,Semi-Detached,709338,665000,250
Waltham Forest,Terraced,665113,650000,1130
Wandsworth,Detached,3115375,2827500,39
Wandsworth,Flat,590365,515000,2595
Wandsworth,Other,3115328,600000,91
Wandsworth,Semi-Detached,1688072,1500000,114
Wandsworth,Terraced,1110766,990000,992
Westminster,Detached,5072812,5950000,8
Westminster,Flat,1166682,735000,1491
Westminster,Other,11801911,2150000,182
Westminster,Semi-Detached,5943438,5600000,16
Westminster,Terraced,3073707,2115000,180
